地区,年份,原油生产量
北京,2015,0
北京,2016,0
北京,2017,0
北京,2018,0
北京,2019,0
北京,2020,0
北京,2021,0
天津,2015,3496.8
天津,2016,3273.3
天津,2017,3102.4
天津,2018,3085.5
天津,2019,3111.9
天津,2020,3242.2
天津,2021,3407
河北,2015,580.1
河北,2016,546
河北,2017,539.1
河北,2018,537.2
河北,2019,550
河北,2020,543.5
河北,2021,544.6
山西,2015,0
山西,2016,0
山西,2017,0
山西,2018,0
山西,2019,0
山西,2020,0
山西,2021,0
内蒙古,2015,45.8
内蒙古,2016,44.9
内蒙古,2017,12.2
内蒙古,2018,12
内蒙古,2019,14.9
内蒙古,2020,13.6
内蒙古,2021,42.1
辽宁,2015,1037.1
辽宁,2016,1017.3
辽宁,2017,1044.2
辽宁,2018,1040.7
辽宁,2019,1053.3
辽宁,2020,1049.4
辽宁,2021,1054.2
吉林,2015,665.5
吉林,2016,610.7
吉林,2017,420.9
吉林,2018,387.4
吉林,2019,401.9
吉林,2020,404.4
吉林,2021,414.2
黑龙江,2015,3838.6
黑龙江,2016,3656
黑龙江,2017,3420.3
黑龙江,2018,3224.2
黑龙江,2019,3090
黑龙江,2020,3001
黑龙江,2021,2945.5
上海,2015,6.8
上海,2016,6.5
上海,2017,6.8
上海,2018,6.5
上海,2019,39.1
上海,2020,52
上海,2021,50.9
江苏,2015,190.5
江苏,2016,166
江苏,2017,156.1
江苏,2018,155.4
江苏,2019,153.5
江苏,2020,152.1
江苏,2021,151.3
浙江,2015,0
浙江,2016,0
浙江,2017,0
浙江,2018,0
浙江,2019,0
浙江,2020,0
浙江,2021,0
安徽,2015,0
安徽,2016,0
安徽,2017,0
安徽,2018,0
安徽,2019,0
安徽,2020,0
安徽,2021,0
福建,2015,0
福建,2016,0
福建,2017,0
福建,2018,0
福建,2019,0
福建,2020,0
福建,2021,0
江西,2015,0
江西,2016,0
江西,2017,0
江西,2018,0
江西,2019,0
江西,2020,0
江西,2021,0
山东,2015,2608
山东,2016,2295.3
山东,2017,2234.9
山东,2018,2242.1
山东,2019,2226
山东,2020,2219.2
山东,2021,2210.7
河南,2015,412.1
河南,2016,315.7
河南,2017,282.9
河南,2018,258.8
河南,2019,251.1
河南,2020,239.9
河南,2021,234.7
湖北,2015,71
湖北,2016,58.1
湖北,2017,55.5
湖北,2018,54.3
湖北,2019,53.6
湖北,2020,53.5
湖北,2021,53.2
湖南,2015,0
湖南,2016,0
湖南,2017,0
湖南,2018,0
湖南,2019,0
湖南,2020,0
湖南,2021,0
广东,2015,1572.6
广东,2016,1556.3
广东,2017,1435.2
广东,2018,1393.5
广东,2019,1507.5
广东,2020,1613.1
广东,2021,1744.7
广西,2015,50.5
广西,2016,47.4
广西,2017,44.1
广西,2018,51.9
广西,2019,50.3
广西,2020,48.8
广西,2021,46.8
海南,2015,30
海南,2016,29.4
海南,2017,30
海南,2018,30.4
海南,2019,30.5
海南,2020,30.6
海南,2021,37.3
重庆,2015,0
重庆,2016,0
重庆,2017,0
重庆,2018,0
重庆,2019,0
重庆,2020,0
重庆,2021,0
四川,2015,15.4
四川,2016,10.8
四川,2017,8.7
四川,2018,8.1
四川,2019,8.4
四川,2020,7.9
四川,2021,9.2
贵州,2015,0
贵州,2016,0
贵州,2017,0
贵州,2018,0
贵州,2018,0
贵州,2020,0
贵州,2021,0
云南,2015,0
云南,2016,0
云南,2017,0
云南,2018,0
云南,2019,0
云南,2020,0
云南,2021,0
西藏,2015,0
西藏,2016,0
西藏,2017,0
西藏,2018,0
西藏,2019,0
西藏,2020,0
西藏,2021,0
陕西,2015,3736.7
陕西,2016,3502.4
陕西,2017,3489.8
陕西,2018,3522
陕西,2019,2700.1
陕西,2020,2693.7
陕西,2021,2552.8
甘肃,2015,66.6
甘肃,2016,40.4
甘肃,2017,47
甘肃,2018,51.8
甘肃,2019,903.5
甘肃,2020,968.7
甘肃,2021,1029.1
青海,2015,223
青海,2016,221
青海,2017,228
青海,2018,223.3
青海,2019,228
青海,2020,228.5
青海,2021,234
宁夏,2015,13.4
宁夏,2016,6.2
宁夏,2017,0.7
宁夏,2018,0
宁夏,2019,0
宁夏,2020,0
宁夏,2021,135.3
新疆,2015,2795.1
新疆,2016,2564.9
新疆,2017,2591.8
新疆,2018,2647.4
新疆,2019,2789.4
新疆,2020,2914.8
新疆,2021,2990.4
