地区,年份,天然气生产量
北京,2015,16.88
北京,2016,21.68
北京,2017,15.41
北京,2018,17.28
北京,2019,14.55
北京,2020,19.98
北京,2021,4.28
天津,2015,20.54
天津,2016,19.69
天津,2017,21.5
天津,2018,33.94
天津,2019,34.9
天津,2020,36.31
天津,2021,39.02
河北,2015,10.43
河北,2016,7.78
河北,2017,7.39
河北,2018,6.15
河北,2019,5.84
河北,2020,5.61
河北,2021,5.28
山西,2015,43.08
山西,2016,43.22
山西,2017,46.76
山西,2018,53.06
山西,2019,82.55
山西,2020,85.93
山西,2021,123.35
内蒙古,2015,9.24
内蒙古,2016,0.27
内蒙古,2017,0.19
内蒙古,2018,16.07
内蒙古,2019,22.07
内蒙古,2020,25.55
内蒙古,2021,289.75
辽宁,2015,6.59
辽宁,2016,5.52
辽宁,2017,5.11
辽宁,2018,5.87
辽宁,2019,6.18
辽宁,2020,7.37
辽宁,2021,7.91
吉林,2015,20.31
吉林,2016,19.77
吉林,2017,18.58
吉林,2018,18.35
吉林,2019,19.82
吉林,2020,19.81
吉林,2021,21.38
黑龙江,2015,35.82
黑龙江,2016,38.04
黑龙江,2017,40.54
黑龙江,2018,43.54
黑龙江,2019,45.66
黑龙江,2020,46.78
黑龙江,2021,50.5
上海,2015,1.88
上海,2016,2.02
上海,2017,1.71
上海,2018,14.54
上海,2019,12.47
上海,2020,15.11
上海,2021,17.24
江苏,2015,0.37
江苏,2016,1.33
江苏,2017,2.94
江苏,2018,9.97
江苏,2019,4.09
江苏,2020,4.24
江苏,2021,0.94
浙江,2015,0
浙江,2016,0
浙江,2017,6.14
浙江,2018,0
浙江,2019,0
浙江,2020,0
浙江,2021,0
安徽,2015,0
安徽,2016,3.38
安徽,2017,2.6
安徽,2018,2.25
安徽,2019,2.12
安徽,2020,2.24
安徽,2021,2.32
福建,2015,0
福建,2016,0
福建,2017,0
福建,2018,0
福建,2019,0
福建,2020,0
福建,2021,0
江西,2015,0.35
江西,2016,0.23
江西,2017,0.21
江西,2018,0.17
江西,2019,0.03
江西,2020,0
江西,2021,0
山东,2015,4.57
山东,2016,4.22
山东,2017,4.15
山东,2018,4.8
山东,2019,4.98
山东,2020,5.77
山东,2021,6.22
河南,2015,4.19
河南,2016,3.3
河南,2017,2.98
河南,2018,2.9
河南,2019,2.96
河南,2020,2.9
河南,2021,2.93
湖北,2015,1.35
湖北,2016,1.31
湖北,2017,1.27
湖北,2018,5.13
湖北,2019,1.07
湖北,2020,1.01
湖北,2021,1.29
湖南,2015,0
湖南,2016,0
湖南,2017,0
湖南,2018,0
湖南,2019,0
湖南,2020,0.03
湖南,2021,0.03
广东,2015,96.57
广东,2016,79.25
广东,2017,89.23
广东,2018,102.5
广东,2019,112.08
广东,2020,131.59
广东,2021,132.48
广西,2015,0.16
广西,2016,0.2
广西,2017,0.21
广西,2018,0.19
广西,2019,0.23
广西,2020,0.22
广西,2021,0.22
海南,2015,1.88
海南,2016,1.37
海南,2017,1.1
海南,2018,1.06
海南,2019,1.03
海南,2020,1.04
海南,2021,8.03
重庆,2015,33.32
重庆,2016,51.75
重庆,2017,60.7
重庆,2018,61.17
重庆,2019,72.74
重庆,2020,79.96
重庆,2021,87.11
四川,2015,267.22
四川,2016,296.91
四川,2017,356.39
四川,2018,369.86
四川,2019,416.88
四川,2020,463.34
四川,2021,522.21
贵州,2015,0.93
贵州,2016,3.41
贵州,2017,4.15
贵州,2018,2.97
贵州,2019,3.15
贵州,2020,5.04
贵州,2021,5.22
云南,2015,0
云南,2016,0.02
云南,2017,0.04
云南,2018,0
云南,2019,0
云南,2020,0
云南,2021,0
西藏,2015,0
西藏,2016,0
西藏,2017,0
西藏,2018,0
西藏,2019,0
西藏,2020,0
西藏,2021,0
陕西,2015,415.92
陕西,2016,411.91
陕西,2017,419.4
陕西,2018,442.89
陕西,2019,481.55
陕西,2020,527.38
陕西,2021,294.13
甘肃,2015,0.08
甘肃,2016,0.06
甘肃,2017,0.6
甘肃,2018,1.03
甘肃,2019,1.58
甘肃,2020,3.9
甘肃,2021,4.18
青海,2015,61.37
青海,2016,60.81
青海,2017,64.01
青海,2018,64.05
青海,2019,64
青海,2020,64.01
青海,2021,62
宁夏,2015,0
宁夏,2016,0
宁夏,2017,0
宁夏,2018,0
宁夏,2019,0
宁夏,2020,0
宁夏,2021,0.21
新疆,2015,293.02
新疆,2016,291.21
新疆,2017,307.04
新疆,2018,321.84
新疆,2019,341.08
新疆,2020,369.83
新疆,2021,387.59
