地区,年份,发电量
北京,2015,421
北京,2016,434
北京,2017,397
北京,2018,451
北京,2019,464
北京,2020,457
北京,2021,473
天津,2015,623
天津,2016,618
天津,2017,638
天津,2018,725
天津,2019,733
天津,2020,772
天津,2021,800
河北,2015,2498
河北,2016,2631
河北,2017,2983
河北,2018,3229
河北,2019,3298
河北,2020,3425
河北,2021,3513
山西,2015,2449
山西,2016,2535
山西,2017,2861
山西,2018,3203
山西,2019,3362
山西,2020,3504
山西,2021,3926
内蒙古,2015,3929
内蒙古,2016,3950
内蒙古,2017,4413
内蒙古,2018,4961
内蒙古,2019,5495
内蒙古,2020,5811
内蒙古,2021,6120
辽宁,2015,1665
辽宁,2016,1779
辽宁,2017,1844
辽宁,2018,1986
辽宁,2019,2073
辽宁,2020,2135
辽宁,2021,2258
吉林,2015,731
吉林,2016,760
吉林,2017,760
吉林,2018,869
吉林,2019,946
吉林,2020,1019
吉林,2021,1026
黑龙江,2015,874
黑龙江,2016,900
黑龙江,2017,954
黑龙江,2018,1047
黑龙江,2019,1112
黑龙江,2020,1138
黑龙江,2021,1201
上海,2015,793
上海,2016,807
上海,2017,852
上海,2018,848
上海,2019,822
上海,2020,862
上海,2021,1003
江苏,2015,4361
江苏,2016,4709
江苏,2017,4924
江苏,2018,5146
江苏,2019,5166
江苏,2020,5218
江苏,2021,5969
浙江,2015,3011
浙江,2016,3198
浙江,2017,3336
浙江,2018,3493
浙江,2019,3538
浙江,2020,3531
浙江,2021,4222
安徽,2015,2062
安徽,2016,2253
安徽,2017,2478
安徽,2018,2741
安徽,2019,2887
安徽,2020,2809
安徽,2021,3083
福建,2015,1901
福建,2016,2007
福建,2017,2226
福建,2018,2479
福建,2019,2578
福建,2020,2651
福建,2021,2951
江西,2015,982
江西,2016,1085
江西,2017,1160
江西,2018,1286
江西,2019,1376
江西,2020,1445
江西,2021,1563
山东,2015,4685
山东,2016,5329
山东,2017,5775
山东,2018,5920
山东,2019,5897
山东,2020,5806
山东,2021,6210
河南,2015,2625
河南,2016,2653
河南,2017,2747
河南,2018,3060
河南,2019,2888
河南,2020,2906
河南,2021,3039
湖北,2015,2341
湖北,2016,2479
湖北,2017,2631
湖北,2018,2817
湖北,2019,2958
湖北,2020,3016
湖北,2021,3292
湖南,2015,1314
湖南,2016,1385
湖南,2017,1438
湖南,2018,1540
湖南,2019,1559
湖南,2020,1554
湖南,2021,1742
广东,2015,4035
广东,2016,4170
广东,2017,4517
广东,2018,4716
广东,2019,5051
广东,2020,5226
广东,2021,6306
广西,2015,1300
广西,2016,1347
广西,2017,1468
广西,2018,1732
广西,2019,1846
广西,2020,1971
广西,2021,2082
海南,2015,261
海南,2016,288
海南,2017,305
海南,2018,325
海南,2019,346
海南,2020,346
海南,2021,391
重庆,2015,680
重庆,2016,701
重庆,2017,738
重庆,2018,812
重庆,2019,812
重庆,2020,841
重庆,2021,991
四川,2015,3130
四川,2016,3274
四川,2017,3452
四川,2018,3693
四川,2019,3924
四川,2020,4182
四川,2021,4530
贵州,2015,1815
贵州,2016,1904
贵州,2017,1932
贵州,2018,2021
贵州,2019,2207
贵州,2020,2305
贵州,2021,2368
云南,2015,2553
云南,2016,2693
云南,2017,2950
云南,2018,3242
云南,2019,3466
云南,2020,3674
云南,2021,3770
西藏,2015,45
西藏,2016,54
西藏,2017,59
西藏,2018,69
西藏,2019,86
西藏,2020,89
西藏,2021,113
陕西,2015,1623
陕西,2016,1757
陕西,2017,1846
陕西,2018,1920
陕西,2019,2193
陕西,2020,2379
陕西,2021,2740
甘肃,2015,1242
甘肃,2016,1214
甘肃,2017,1303
甘肃,2018,1540
甘肃,2019,1631
甘肃,2020,1762
甘肃,2021,1897
青海,2015,566
青海,2016,553
青海,2017,615
青海,2018,811
青海,2019,886
青海,2020,952
青海,2021,996
宁夏,2015,1155
宁夏,2016,1144
宁夏,2017,1406
宁夏,2018,1672
宁夏,2019,1766
宁夏,2020,1882
宁夏,2021,2083
新疆,2015,2479
新疆,2016,2719
新疆,2017,3037
新疆,2018,3306
新疆,2019,3670
新疆,2020,4122
新疆,2021,4684
