地区,年份,原煤生产量
北京,2015,450
北京,2016,318
北京,2017,255
北京,2018,176
北京,2019,36
北京,2020,0
北京,2021,0
天津,2015,0
天津,2016,0
天津,2017,0
天津,2018,0
天津,2019,0
天津,2020,0
天津,2021,0
河北,2015,7437
河北,2016,6484
河北,2017,6020
河北,2018,5559
河北,2019,5075
河北,2020,4975
河北,2021,4643
山西,2015,96680
山西,2016,83044
山西,2017,87221
山西,2018,92677
山西,2019,98795
山西,2020,107906
山西,2021,120346
内蒙古,2015,90957
内蒙古,2016,84559
内蒙古,2017,90597
内蒙古,2018,99102
内蒙古,2019,109068
内蒙古,2020,102551
内蒙古,2021,106990
辽宁,2015,4752
辽宁,2016,4170
辽宁,2017,3630
辽宁,2018,3403
辽宁,2019,3292
辽宁,2020,3129
辽宁,2021,3088
吉林,2015,2634
吉林,2016,1684
吉林,2017,1639
吉林,2018,1620
吉林,2019,1256
吉林,2020,1040
吉林,2021,905
黑龙江,2015,6551
黑龙江,2016,5890
黑龙江,2017,6196
黑龙江,2018,6133
黑龙江,2019,5391
黑龙江,2020,5558
黑龙江,2021,6016
上海,2015,0
上海,2016,0
上海,2017,0
上海,2018,0
上海,2019,0
上海,2020,0
上海,2021,0
江苏,2015,1919
江苏,2016,1368
江苏,2017,1278
江苏,2018,1246
江苏,2019,1103
江苏,2020,1022
江苏,2021,934
浙江,2015,0
浙江,2016,0
浙江,2017,0
浙江,2018,0
浙江,2019,0
浙江,2020,0
浙江,2021,0
安徽,2015,13404
安徽,2016,12236
安徽,2017,11724
安徽,2018,11412
安徽,2019,10989
安徽,2020,11084
安徽,2021,11274
福建,2015,1591
福建,2016,1384
福建,2017,1130
福建,2018,941
福建,2019,846
福建,2020,659
福建,2021,548
江西,2015,2271
江西,2016,1557
江西,2017,939
江西,2018,551
江西,2019,504
江西,2020,314
江西,2021,237
山东,2015,14220
山东,2016,12818
山东,2017,13160
山东,2018,12556
山东,2019,11918
山东,2020,10945
山东,2021,9312
河南,2015,13596
河南,2016,11947
河南,2017,11751
河南,2018,11467
河南,2019,10938
河南,2020,10647
河南,2021,9372
湖北,2015,860
湖北,2016,594
湖北,2017,316
湖北,2018,119
湖北,2019,41
湖北,2020,40
湖北,2021,30
湖南,2015,3559
湖南,2016,2787
湖南,2017,1938
湖南,2018,1900
湖南,2019,1473
湖南,2020,1068
湖南,2021,727
广东,2015,0
广东,2016,0
广东,2017,0
广东,2018,0
广东,2019,0
广东,2020,0
广东,2021,0
广西,2015,425
广西,2016,433
广西,2017,443
广西,2018,488
广西,2019,406
广西,2020,414
广西,2021,352
海南,2015,0
海南,2016,0
海南,2017,0
海南,2018,0
海南,2019,0
海南,2020,0
海南,2021,0
重庆,2015,3562
重庆,2016,2437
重庆,2017,1194
重庆,2018,1177
重庆,2019,1171
重庆,2020,939
重庆,2021,0
四川,2015,6406
四川,2016,6165
四川,2017,4799
四川,2018,3736
四川,2019,3397
四川,2020,2240
四川,2021,1953
贵州,2015,17205
贵州,2016,16851
贵州,2017,16344
贵州,2018,14335
贵州,2019,13168
贵州,2020,12055
贵州,2021,13232
云南,2015,5184
云南,2016,4587
云南,2017,4675
云南,2018,4573
云南,2019,5523
云南,2020,5530
云南,2021,6099
西藏,2015,0
西藏,2016,0
西藏,2017,0
西藏,2018,0
西藏,2019,0
西藏,2020,0
西藏,2021,0
陕西,2015,52576
陕西,2016,51566
陕西,2017,57102
陕西,2018,62958
陕西,2019,63630
陕西,2020,67973
陕西,2021,70192
甘肃,2015,4400
甘肃,2016,4254
甘肃,2017,3738
甘肃,2018,3630
甘肃,2019,3685
甘肃,2020,3859
甘肃,2021,4407
青海,2015,816
青海,2016,787
青海,2017,842
青海,2018,821
青海,2019,1286
青海,2020,1092
青海,2021,1109
宁夏,2015,7976
宁夏,2016,7069
宁夏,2017,7644
宁夏,2018,7840
宁夏,2019,7477
宁夏,2020,8152
宁夏,2021,8670
新疆,2015,15221
新疆,2016,16073
新疆,2017,17782
新疆,2018,21352
新疆,2019,24165
新疆,2020,26966
新疆,2021,32148
